query_id,query,intent,expected_card,expected_keywords_in_answer,expected_behavior,should_refuse,should_mention_cap,should_mention_exclusion,should_mention_disclaimer,confidence_floor
1,"I am spending Rs. 50000 on flights. Which card should I use?",single_transaction,Axis Atlas,"Axis Atlas,5,2500,EDGE Miles,flight,travel",Retrieve travel rules and recommend best card by value,FALSE,TRUE,FALSE,TRUE,MEDIUM
2,"I am paying Rs. 25000 insurance premium. Which card should I use?",single_transaction,SBI Cashback,"insurance,excluded,SBI Cashback,1%,cashback",Detect insurance exclusion for premium cards and recommend SBI Cashback,FALSE,FALSE,TRUE,TRUE,MEDIUM
3,"I am spending Rs. 100000 on hotels and want Marriott points.",point_transfer,Axis Atlas,"hotel,Marriott,transfer,approval,partner",Ask goal and retrieve hotel transfer rules then request approval,FALSE,TRUE,FALSE,TRUE,LOW
4,"Which card is best for rent payment?",single_transaction,None,"rent,excluded,not eligible,insufficient",Retrieve rent rules and surface exclusions or say insufficient info,TRUE,FALSE,TRUE,TRUE,LOW
5,"I have 50000 points on Axis Atlas. Should I convert them to cashback?",point_valuation,,"cashback,transfer,Air India,value,assumption,goal",Ask user goal and compare cashback vs transfer value,FALSE,FALSE,FALSE,TRUE,MEDIUM
6,"My monthly spends are Rs. 30000 on dining, Rs. 40000 on travel, Rs. 20000 on groceries. Which cards should I use?",monthly_optimization,,"dining,travel,groceries,category,allocation",Classify categories and recommend different cards per category,FALSE,TRUE,FALSE,TRUE,MEDIUM
7,"I am spending Rs. 80000 on international flights.",single_transaction,Axis Atlas,"international,5,4000,EDGE Miles,Axis Atlas",Retrieve international spend rules and recommend best card,FALSE,TRUE,FALSE,TRUE,MEDIUM
8,"Which card gives the best return for Zomato orders of Rs. 5000?",single_transaction,HDFC Diners Club Black,"Zomato,10X,HDFC Diners,SmartBuy,partner",Identify Zomato as 10X partner for HDFC DCB and calculate reward,FALSE,TRUE,FALSE,TRUE,MEDIUM-HIGH
9,"I have 80000 EDGE Miles on Axis Atlas. Should I transfer them to Air India?",point_transfer,,"Air India,transfer,approval,ratio,partner",Retrieve Axis Atlas transfer rules and ask for human approval,FALSE,FALSE,FALSE,TRUE,MEDIUM
10,"Axis Atlas vs HDFC Infinia for travel spends?",card_comparison,,"Axis Atlas,HDFC Infinia,comparison,travel,rate",Compare both cards side by side on travel category,FALSE,TRUE,FALSE,TRUE,MEDIUM
11,"I am spending Rs. 15000 on utilities. Which card should I use?",single_transaction,Axis Atlas,"utility,base rate,BBPS,electricity",Retrieve utility rules and explain base rate or surcharge waiver,FALSE,FALSE,FALSE,TRUE,LOW
12,"What is the value of 10000 Marriott Bonvoy points?",point_valuation,,"Marriott,Bonvoy,value,redemption,variable",Explain partner redemption value and mention variability,FALSE,FALSE,FALSE,TRUE,LOW
13,"Which card has the best welcome bonus?",card_comparison,,"welcome,bonus,benefit,milestone,joining",Retrieve welcome benefit info from all card docs,FALSE,FALSE,FALSE,TRUE,LOW
14,"I spend Rs. 2 lakh per month. Which card's annual fee can I recover?",monthly_optimization,,"annual fee,recovery,breakeven,monthly spend",Calculate annual fee recovery breakeven for each card,FALSE,FALSE,FALSE,TRUE,MEDIUM
15,"I am paying Rs. 1 lakh school fees. Which card to use?",single_transaction,,"education,school,eligible,excluded",Check if education category is eligible or excluded,FALSE,FALSE,TRUE,TRUE,LOW
16,"Which card is best for Amazon shopping of Rs. 20000?",single_transaction,HDFC Diners Club Black,"Amazon,10X,HDFC Diners,SmartBuy,2000",Amazon is 10X partner for HDFC DCB and calculate reward,FALSE,TRUE,FALSE,TRUE,MEDIUM-HIGH
17,"I want to maximize points for a Rs. 5 lakh hotel stay.",single_transaction,,"hotel,milestone,5 lakh,comparison,maximize",Retrieve hotel rules and check milestone benefits for all cards,FALSE,TRUE,FALSE,TRUE,MEDIUM
18,"Can I transfer my SBI Cashback to any airline?",point_transfer,,"SBI Cashback,no transfer,partner,not available",Explain SBI Cashback has no transfer partners clearly,FALSE,FALSE,FALSE,TRUE,HIGH
19,"I am spending Rs. 10000 on fuel. Which card is best?",single_transaction,,"fuel,petrol,surcharge,waiver,exclude",Identify fuel rules and mention surcharge waiver or exclusion,FALSE,FALSE,TRUE,TRUE,LOW
20,"Which card should I use for Rs. 50000 at a foreign merchant?",single_transaction,Axis Atlas,"international,foreign,5,EDGE Miles,2500",Retrieve international spend rules and recommend Axis Atlas,FALSE,TRUE,FALSE,TRUE,MEDIUM
